Car_id,Date,Gender,Dealer_Name,Company,Model,Transmission,Color,Price ($),Body Style,Dealer_Region
C_CND_000037,1/3/2022,Male,Enterprise Rent A Car,Mercury,Mountaineer,Auto,Pale White,21000,SUV,Aurora
C_CND_000038,1/3/2022,Male,Gartner Buick Hyundai Saab,Buick,Park Avenue,Auto,Black,61000,Hatchback,Greenville
C_CND_000039,1/3/2022,Male,Hatfield Volkswagen,Mitsubishi,Montero Sport,Auto,Pale White,39000,SUV,Pasco
C_CND_000040,1/3/2022,Female,Star Enterprises Inc,Nissan,Sentra,Auto,Black,16000,Passenger,Pasco
C_CND_000041,1/3/2022,Male,Suburban Ford,Chrysler,Sebring Coupe,Manual,Pale White,26000,Sedan,Janesville
C_CND_000042,1/3/2022,Female,Tri-State Mack Inc,Volvo,S80,Manual,Pale White,21000,Sedan,Scottsdale
C_CND_000043,1/3/2022,Male,U-Haul CO,Chevrolet,Lumina,Manual,Black,42500,Passenger,Austin
C_CND_000044,1/3/2022,Male,Diehl Motor CO Inc,Mitsubishi,Montero Sport,Auto,Black,45001,Hatchback,Middletown
C_CND_000045,1/3/2022,Male,Enterprise Rent A Car,Pontiac,Bonneville,Manual,Black,36001,Hatchback,Aurora
C_CND_000046,1/3/2022,Male,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Manual,Pale White,12000,Hatchback,Greenville
C_CND_000047,1/3/2022,Male,Hatfield Volkswagen,BMW,323i,Manual,Pale White,21001,Hatchback,Pasco
C_CND_000048,1/3/2022,Male,Rabun Used Car Sales,Acura,TL,Auto,Pale White,29000,Hatchback,Scottsdale
C_CND_000049,1/3/2022,Male,Race Car Help,Nissan,Altima,Auto,Pale White,20000,Hatchback,Austin
C_CND_000050,1/3/2022,Male,Ryder Truck Rental and Leasing,Cadillac,DeVille,Auto,Pale White,22000,SUV,Middletown
C_CND_000051,1/3/2022,Male,Saab-Belle Dodge,Dodge,Stratus,Auto,Pale White,31000,Hatchback,Aurora
C_CND_000052,1/3/2022,Male,Progressive Shippers Cooperative Association No,Audi,A4,Auto,Black,27000,Hardtop,Austin
C_CND_000053,1/3/2022,Female,C & M Motors Inc,Mercury,Cougar,Auto,Black,33000,Hatchback,Scottsdale
C_CND_000054,1/3/2022,Male,Scrivener Performance Engineering,Chevrolet,Malibu,Manual,Pale White,14000,Hardtop,Middletown
C_CND_000055,1/3/2022,Male,Chrysler of Tri-Cities,Acura,RL,Manual,Pale White,17000,SUV,Middletown
C_CND_000056,1/4/2022,Male,Iceberg Rentals,Saturn,SW,Auto,Pale White,25600,Passenger,Janesville
C_CND_000057,1/4/2022,Male,McKinney Dodge Chrysler Jeep,Volvo,C70,Manual,Black,17000,Hatchback,Scottsdale
C_CND_000058,1/4/2022,Male,Motor Vehicle Branch Office,Mercury,Mountaineer,Manual,Pale White,21000,SUV,Austin
C_CND_000059,1/4/2022,Male,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Manual,Pale White,12000,Hatchback,Middletown
C_CND_000060,1/4/2022,Male,C & M Motors Inc,Mercedes-B,SLK,Manual,Pale White,17000,Passenger,Aurora
C_CND_000061,1/4/2022,Male,Ryder Truck Rental and Leasing,Toyota,Tacoma,Manual,Black,36000,Hardtop,Janesville
C_CND_000062,1/4/2022,Male,Iceberg Rentals,Mercedes-B,C-Class,Manual,Pale White,17000,Hatchback,Janesville
C_CND_000063,1/4/2022,Male,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Manual,Pale White,41000,Hatchback,Austin
C_CND_000064,1/4/2022,Female,Nebo Chevrolet,Audi,A6,Auto,Black,14000,SUV,Middletown
C_CND_000065,1/4/2022,Male,Scrivener Performance Engineering,Dodge,Intrepid,Auto,Pale White,31100,Sedan,Greenville
C_CND_000066,1/4/2022,Male,Star Enterprises Inc,Buick,Park Avenue,Auto,Black,61000,Hatchback,Pasco
C_CND_000067,1/4/2022,Male,Suburban Ford,Dodge,Viper,Manual,Black,26000,SUV,Janesville
C_CND_000068,1/4/2022,Male,Chrysler Plymouth,Toyota,Sienna,Manual,Black,12000,Passenger,Aurora
C_CND_000069,1/4/2022,Female,Classic Chevy,Volvo,S40,Auto,Pale White,42000,Sedan,Greenville
C_CND_000070,1/4/2022,Male,Clay Johnson Auto Sales,Mitsubishi,Diamante,Auto,Pale White,21000,Hatchback,Pasco
C_CND_000071,1/5/2022,Male,Nebo Chevrolet,Cadillac,DeVille,Auto,Pale White,22600,SUV,Middletown
C_CND_000072,1/5/2022,Female,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Manual,Pale White,45000,Passenger,Aurora
C_CND_000073,1/5/2022,Female,Pars Auto Sales,Mitsubishi,Eclipse,Manual,Black,25000,SUV,Greenville
C_CND_000074,1/5/2022,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,Auto,Pale White,62000,Sedan,Pasco
C_CND_000075,1/5/2022,Male,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,Auto,Black,22700,Passenger,Janesville
C_CND_000076,1/5/2022,Female,Rabun Used Car Sales,Mitsubishi,Montero Sport,Auto,Black,45000,SUV,Scottsdale
C_CND_000077,1/5/2022,Male,Chrysler of Tri-Cities,Lincoln,Town car,Manual,Black,17000,Hatchback,Pasco
C_CND_000078,1/5/2022,Male,Motor Vehicle Branch Office,Ford,Focus,Manual,Black,49000,Hardtop,Austin
C_CND_000079,1/5/2022,Male,Classic Chevy,Audi,A6,Manual,Black,15000,SUV,Scottsdale
C_CND_000080,1/5/2022,Male,Clay Johnson Auto Sales,Acura,TL,Auto,Black,28000,Hatchback,Austin
C_CND_000081,1/5/2022,Male,Tri-State Mack Inc,Nissan,Pathfinder,Auto,Pale White,46000,Hardtop,Greenville
C_CND_000082,1/5/2022,Female,Enterprise Rent A Car,Ford,Mustang,Manual,Pale White,43000,Hatchback,Aurora
C_CND_000083,1/5/2022,Male,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Auto,Pale White,41000,Sedan,Aurora
C_CND_000084,1/5/2022,Female,Pars Auto Sales,Chevrolet,Corvette,Auto,Pale White,45000,SUV,Greenville
C_CND_000085,1/5/2022,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Manual,Pale White,22001,Hatchback,Pasco
C_CND_000086,1/5/2022,Male,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Manual,Pale White,25001,Sedan,Janesville
C_CND_000087,1/5/2022,Male,Rabun Used Car Sales,Dodge,Dakota,Manual,Pale White,12800,Sedan,Scottsdale
C_CND_000088,1/5/2022,Male,Race Car Help,Chrysler,300M,Auto,Black,26000,SUV,Austin
C_CND_000089,1/5/2022,Male,Tri-State Mack Inc,BMW,328i,Auto,Black,18000,Sedan,Scottsdale
C_CND_000090,1/5/2022,Male,U-Haul CO,Oldsmobile,Bravada,Auto,Pale White,19000,Hatchback,Austin
C_CND_000091,1/5/2022,Male,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Manual,Pale White,22500,Sedan,Middletown
C_CND_000092,1/5/2022,Male,Race Car Help,Dodge,Ram Pickup,Manual,Pale White,21001,Hardtop,Austin
C_CND_000093,1/5/2022,Male,Saab-Belle Dodge,Chrysler,Concorde,Auto,Pale White,46500,Hardtop,Aurora
C_CND_000094,1/5/2022,Male,Chrysler of Tri-Cities,Chrysler,300M,Auto,Pale White,16000,SUV,Pasco
C_CND_000095,1/5/2022,Male,Diehl Motor CO Inc,Volvo,V70,Auto,Black,39000,Passenger,Janesville
C_CND_000096,1/5/2022,Female,Enterprise Rent A Car,Nissan,Quest,Manual,Black,19000,SUV,Scottsdale
C_CND_000097,1/5/2022,Male,Gartner Buick Hyundai Saab,Chrysler,LHS,Auto,Black,26000,Hatchback,Austin
C_CND_000098,1/5/2022,Male,Hatfield Volkswagen,Honda,Accord,Manual,Black,43000,Sedan,Janesville
C_CND_000099,1/5/2022,Female,Iceberg Rentals,Nissan,Maxima,Manual,Pale White,54000,Sedan,Scottsdale
C_CND_000100,1/5/2022,Male,McKinney Dodge Chrysler Jeep,Dodge,Durango,Auto,Pale White,22000,SUV,Austin
C_CND_000101,1/6/2022,Male,Race Car Help,Lexus,ES300,Auto,Black,16001,SUV,Austin
C_CND_000102,1/6/2022,Female,Ryder Truck Rental and Leasing,BMW,328i,Auto,Black,16001,Sedan,Middletown
C_CND_000103,1/6/2022,Male,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Auto,Pale White,12000,SUV,Greenville
C_CND_000104,1/6/2022,Male,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Manual,Black,38000,Hardtop,Janesville
C_CND_000105,1/6/2022,Male,Ryder Truck Rental and Leasing,Ford,Explorer,Auto,Pale White,42000,Hatchback,Middletown
C_CND_000106,1/6/2022,Male,Saab-Belle Dodge,Nissan,Pathfinder,Auto,Pale White,21000,Hatchback,Aurora
C_CND_000107,1/6/2022,Female,Chrysler Plymouth,Volvo,C70,Auto,Black,49000,Hatchback,Janesville
C_CND_000108,1/6/2022,Male,Chrysler of Tri-Cities,Chevrolet,Prizm,Manual,Pale White,21200,Hardtop,Pasco
C_CND_000109,1/6/2022,Male,Motor Vehicle Branch Office,Mercury,Grand Marquis,Manual,Pale White,71000,SUV,Middletown
C_CND_000110,1/6/2022,Female,Nebo Chevrolet,Chevrolet,Camaro,Auto,Pale White,17000,Sedan,Aurora
C_CND_000111,1/9/2022,Female,Saab-Belle Dodge,Subaru,Outback,Auto,Pale White,57001,SUV,Aurora
C_CND_000112,1/9/2022,Male,Scrivener Performance Engineering,Buick,Park Avenue,Auto,Pale White,62001,Hatchback,Greenville
C_CND_000113,1/9/2022,Male,Star Enterprises Inc,Ford,Taurus,Manual,Black,69001,SUV,Pasco
C_CND_000114,1/9/2022,Male,Suburban Ford,Chevrolet,Cavalier,Manual,Pale White,20001,SUV,Janesville
C_CND_000115,1/9/2022,Male,McKinney Dodge Chrysler Jeep,Audi,A4,Auto,Black,27000,Hardtop,Austin
C_CND_000116,1/9/2022,Female,U-Haul CO,Ford,Focus,Manual,Black,49000,Hardtop,Janesville
C_CND_000117,1/9/2022,Male,Motor Vehicle Branch Office,Mitsubishi,Diamante,Manual,Black,49000,Hatchback,Austin
C_CND_000118,1/9/2022,Female,Nebo Chevrolet,Lexus,GS400,Auto,Black,12000,Hatchback,Middletown
C_CND_000119,1/9/2022,Female,Scrivener Performance Engineering,Mercedes-B,M-Class,Manual,Pale White,25000,Hatchback,Greenville
C_CND_000120,1/9/2022,Male,Star Enterprises Inc,Chrysler,Concorde,Auto,Pale White,42000,Hatchback,Pasco
C_CND_000121,1/9/2022,Male,Suburban Ford,Chrysler,Sebring Coupe,Auto,Pale White,19000,Sedan,Janesville
C_CND_000122,1/9/2022,Female,Tri-State Mack Inc,Chevrolet,Monte Carlo,Manual,Pale White,26750,Hatchback,Scottsdale
C_CND_000123,1/9/2022,Male,Clay Johnson Auto Sales,Cadillac,Eldorado,Auto,Pale White,31000,Passenger,Austin
C_CND_000124,1/9/2022,Male,Diehl Motor CO Inc,Saturn,LW,Manual,Pale White,49000,Hatchback,Middletown
C_CND_000125,1/9/2022,Female,Enterprise Rent A Car,Hyundai,Sonata,Manual,Black,15000,SUV,Aurora
C_CND_000126,1/9/2022,Male,Gartner Buick Hyundai Saab,Mercury,Sable,Auto,Pale White,26000,Sedan,Greenville
C_CND_000127,1/9/2022,Male,Suburban Ford,Mercedes-B,SL-Class,Manual,Pale White,17000,Hardtop,Greenville
C_CND_000128,1/9/2022,Female,Pars Auto Sales,Volvo,C70,Manual,Pale White,24000,Hatchback,Pasco
C_CND_000129,1/9/2022,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,Auto,Pale White,19000,Passenger,Janesville
C_CND_000130,1/9/2022,Male,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Manual,Pale White,20000,Passenger,Scottsdale
C_CND_000131,1/10/2022,Female,Tri-State Mack Inc,Acura,TL,Auto,Black,28501,Hatchback,Scottsdale
C_CND_000132,1/10/2022,Male,New Castle Ford Lincoln Mercury,BMW,323i,Auto,Pale White,15500,Hatchback,Aurora
C_CND_000133,1/10/2022,Male,U-Haul CO,Plymouth,Voyager,Manual,Pale White,20000,Passenger,Austin
C_CND_000134,1/10/2022,Male,Hatfield Volkswagen,Nissan,Maxima,Manual,Pale White,29000,Sedan,Pasco
C_CND_000135,1/10/2022,Male,Rabun Used Car Sales,Chrysler,Cirrus,Auto,Pale White,12500,Passenger,Austin
C_CND_000136,1/12/2022,Female,U-Haul CO,Mercury,Grand Marquis,Manual,Pale White,16001,SUV,Austin
C_CND_000137,1/12/2022,Male,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,Auto,Pale White,27250,SUV,Middletown
C_CND_000138,1/12/2022,Male,C & M Motors Inc,Dodge,Intrepid,Manual,Black,11000,Sedan,Aurora
C_CND_000139,1/12/2022,Male,Capitol KIA,Nissan,Maxima,Manual,Pale White,22001,Sedan,Greenville
C_CND_000140,1/12/2022,Male,Chrysler of Tri-Cities,Dodge,Avenger,Auto,Pale White,22000,Passenger,Pasco
C_CND_000141,1/12/2022,Male,Chrysler Plymouth,Chevrolet,Corvette,Manual,Pale White,22000,SUV,Janesville
C_CND_000142,1/12/2022,Male,Pars Auto Sales,Acura,RL,Manual,Black,18000,SUV,Greenville
C_CND_000143,1/12/2022,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Manual,Pale White,27000,Passenger,Pasco
C_CND_000144,1/12/2022,Female,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Manual,Pale White,25000,SUV,Janesville
C_CND_000145,1/12/2022,Female,Rabun Used Car Sales,Acura,RL,Manual,Pale White,26500,SUV,Scottsdale
C_CND_000146,1/12/2022,Male,Race Car Help,Ford,Taurus,Manual,Black,69000,SUV,Austin
C_CND_000147,1/12/2022,Female,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Manual,Pale White,14150,Sedan,Middletown
C_CND_000148,1/12/2022,Male,Progressive Shippers Cooperative Association No,Saab,5-Sep,Manual,Pale White,28000,Hatchback,Janesville
C_CND_000149,1/12/2022,Male,Rabun Used Car Sales,Honda,Civic,Manual,Black,43000,Hatchback,Scottsdale
C_CND_000150,1/12/2022,Male,Race Car Help,BMW,528i,Manual,Pale White,25000,SUV,Austin
C_CND_000151,1/12/2022,Male,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Auto,Pale White,12000,Sedan,Middletown
C_CND_000152,1/12/2022,Male,Saab-Belle Dodge,Lexus,LS400,Auto,Black,39000,Sedan,Aurora
C_CND_000153,1/12/2022,Male,Scrivener Performance Engineering,Cadillac,Eldorado,Auto,Black,60500,Passenger,Greenville
C_CND_000154,1/12/2022,Male,Iceberg Rentals,Volkswagen,Jetta,Auto,Pale White,16000,Passenger,Janesville
C_CND_000155,1/12/2022,Male,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,Auto,Pale White,19000,Hatchback,Scottsdale
C_CND_000156,1/12/2022,Male,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Manual,Black,44000,Hatchback,Austin
C_CND_000157,1/12/2022,Female,Nebo Chevrolet,Oldsmobile,Aurora,Manual,Pale White,71000,Passenger,Middletown
C_CND_000158,1/12/2022,Male,New Castle Ford Lincoln Mercury,Ford,Mustang,Manual,Pale White,25000,Hatchback,Aurora
C_CND_000159,1/12/2022,Male,Pars Auto Sales,Mitsubishi,Diamante,Auto,Black,18000,Hatchback,Greenville
C_CND_000160,1/12/2022,Male,Race Car Help,Ford,Expedition,Manual,Pale White,22000,SUV,Middletown
C_CND_000161,1/12/2022,Male,Diehl Motor CO Inc,Mercedes-B,M-Class,Manual,Pale White,41000,Hardtop,Middletown
C_CND_000162,1/12/2022,Female,Gartner Buick Hyundai Saab,Ford,Focus,Manual,Black,49000,Hardtop,Greenville
C_CND_000163,1/12/2022,Male,Scrivener Performance Engineering,Volkswagen,Jetta,Auto,Pale White,19000,Passenger,Pasco
C_CND_000164,1/12/2022,Female,Star Enterprises Inc,BMW,528i,Manual,Black,21000,SUV,Janesville
C_CND_000165,1/12/2022,Female,Rabun Used Car Sales,Subaru,Forester,Auto,Black,22000,Hardtop,Scottsdale
C_CND_000166,1/13/2022,Female,Classic Chevy,Plymouth,Breeze,Manual,Pale White,16000,SUV,Scottsdale
C_CND_000167,1/13/2022,Female,Clay Johnson Auto Sales,Volkswagen,Beetle,Auto,Pale White,45000,SUV,Austin
C_CND_000168,1/13/2022,Male,Diehl Motor CO Inc,Dodge,Intrepid,Manual,Black,11650,Sedan,Middletown
C_CND_000169,1/13/2022,Male,Enterprise Rent A Car,Hyundai,Elantra,Manual,Pale White,26000,Sedan,Aurora
C_CND_000170,1/13/2022,Male,Saab-Belle Dodge,Saturn,SW,Manual,Black,36000,Passenger,Aurora
C_CND_000171,1/13/2022,Male,Scrivener Performance Engineering,Lincoln,Continental,Manual,Pale White,82000,Passenger,Greenville
C_CND_000172,1/13/2022,Female,Star Enterprises Inc,Chevrolet,Camaro,Auto,Pale White,24000,Sedan,Pasco
C_CND_000173,1/13/2022,Male,Nebo Chevrolet,Nissan,Pathfinder,Manual,Pale White,11800,Hardtop,Austin
C_CND_000174,1/13/2022,Male,Star Enterprises Inc,Toyota,RAV4,Auto,Pale White,27500,Hatchback,Pasco
C_CND_000175,1/13/2022,Male,Suburban Ford,Mercury,Villager,Auto,Pale White,36000,Passenger,Janesville
C_CND_000176,1/13/2022,Male,Tri-State Mack Inc,Jaguar,S-Type,Manual,Pale White,20000,Passenger,Scottsdale
C_CND_000177,1/13/2022,Male,U-Haul CO,Mercedes-B,SLK,Manual,Pale White,17000,Passenger,Austin
C_CND_000178,1/13/2022,Male,Pitre Buick-Pontiac-Gmc of Scottsdale,Volkswagen,Jetta,Auto,Pale White,16900,Passenger,Pasco
C_CND_000179,1/13/2022,Male,Progressive Shippers Cooperative Association No,Buick,Regal,Auto,Pale White,46500,Passenger,Janesville
C_CND_000180,1/13/2022,Male,Rabun Used Car Sales,Mercedes-B,C-Class,Auto,Black,14000,Hatchback,Scottsdale
C_CND_000181,1/13/2022,Male,Race Car Help,Toyota,Sienna,Manual,Black,16000,Passenger,Austin
C_CND_000182,1/13/2022,Male,Race Car Help,Volvo,S70,Manual,Black,22000,Hardtop,Austin
C_CND_000183,1/13/2022,Male,U-Haul CO,Nissan,Altima,Auto,Pale White,20000,Hatchback,Middletown
C_CND_000184,1/13/2022,Female,Progressive Shippers Cooperative Association No,Toyota,Celica,Manual,Pale White,14200,SUV,Aurora
C_CND_000185,1/13/2022,Male,Rabun Used Car Sales,Saturn,LS,Auto,Pale White,51000,Sedan,Greenville
C_CND_000186,1/17/2022,Male,Gartner Buick Hyundai Saab,Mitsubishi,Diamante,Manual,Pale White,19000,Hatchback,Greenville
C_CND_000187,1/17/2022,Male,Hatfield Volkswagen,Lexus,GS400,Auto,Pale White,31000,Hatchback,Pasco
C_CND_000188,1/17/2022,Male,Iceberg Rentals,Porsche,Carrera Cabrio,Auto,Pale White,32000,Passenger,Janesville
C_CND_000189,1/17/2022,Male,McKinney Dodge Chrysler Jeep,Dodge,Ram Van,Auto,Pale White,31000,Hatchback,Scottsdale
C_CND_000190,1/17/2022,Male,Tri-State Mack Inc,Oldsmobile,Silhouette,Manual,Pale White,14000,Sedan,Scottsdale
C_CND_000191,1/17/2022,Male,U-Haul CO,Audi,A6,Manual,Black,25000,SUV,Austin
C_CND_000192,1/17/2022,Female,Progressive Shippers Cooperative Association No,Oldsmobile,Cutlass,Auto,Pale White,46000,Sedan,Janesville
C_CND_000193,1/17/2022,Female,Rabun Used Car Sales,Mercedes-B,S-Class,Auto,Black,39500,SUV,Scottsdale
C_CND_000194,1/17/2022,Male,Buddy Storbeck's Diesel Service Inc,Mitsubishi,3000GT,Auto,Black,39000,Sedan,Middletown
C_CND_000195,1/17/2022,Male,C & M Motors Inc,BMW,528i,Auto,Black,31000,SUV,Aurora
C_CND_000196,1/17/2022,Male,Capitol KIA,Chevrolet,Malibu,Manual,Pale White,41000,Hatchback,Greenville
C_CND_000197,1/17/2022,Male,Chrysler of Tri-Cities,Chrysler,300M,Auto,Pale White,22000,SUV,Pasco
C_CND_000198,1/17/2022,Female,Ryder Truck Rental and Leasing,Ford,Mustang,Manual,Black,22000,Hatchback,Middletown
C_CND_000199,1/17/2022,Male,Saab-Belle Dodge,Dodge,Viper,Auto,Pale White,41000,SUV,Aurora
C_CND_000200,1/17/2022,Male,Scrivener Performance Engineering,Jaguar,S-Type,Manual,Pale White,21000,Passenger,Greenville
C_CND_000201,1/17/2022,Male,Star Enterprises Inc,Mercedes-B,SLK,Manual,Black,26000,Passenger,Pasco
C_CND_000202,1/17/2022,Male,Race Car Help,Mercedes-B,E-Class,Auto,Pale White,31000,Sedan,Pasco
C_CND_000203,1/17/2022,Male,Ryder Truck Rental and Leasing,Pontiac,Grand Am,Auto,Pale White,19000,SUV,Janesville
C_CND_000204,1/17/2022,Male,Saab-Belle Dodge,Saturn,LW,Manual,Pale White,13000,Hatchback,Scottsdale
C_CND_000205,1/17/2022,Male,Ryder Truck Rental and Leasing,Saturn,SC,Auto,Black,33000,Hardtop,Middletown
C_CND_000206,1/19/2022,Male,Motor Vehicle Branch Office,Mercury,Sable,Manual,Pale White,61000,Sedan,Austin
C_CND_000207,1/19/2022,Male,Nebo Chevrolet,Toyota,Land Cruiser,Auto,Black,21000,SUV,Middletown
C_CND_000208,1/19/2022,Female,Race Car Help,Nissan,Maxima,Manual,Pale White,16000,Sedan,Austin
C_CND_000209,1/19/2022,Male,Ryder Truck Rental and Leasing,Oldsmobile,Bravada,Auto,Pale White,15000,Hatchback,Middletown
C_CND_000210,1/19/2022,Male,Chrysler Plymouth,Volkswagen,Passat,Manual,Pale White,27000,Hatchback,Janesville
C_CND_000211,1/19/2022,Male,Classic Chevy,Volkswagen,Passat,Auto,Pale White,13500,Hatchback,Scottsdale
C_CND_000212,1/19/2022,Male,Suburban Ford,Nissan,Xterra,Auto,Black,9250,Passenger,Janesville
C_CND_000213,1/19/2022,Male,Tri-State Mack Inc,Ford,Mustang,Auto,Pale White,31000,Hatchback,Scottsdale
C_CND_000214,1/19/2022,Male,Star Enterprises Inc,Volkswagen,Passat,Auto,Pale White,32000,Hatchback,Middletown
C_CND_000215,1/19/2022,Male,Suburban Ford,Volvo,S40,Auto,Pale White,29500,Sedan,Aurora
C_CND_000216,1/21/2022,Male,New Castle Ford Lincoln Mercury,Mercury,Villager,Manual,Pale White,14000,Passenger,Aurora
C_CND_000217,1/21/2022,Male,Pars Auto Sales,Nissan,Frontier,Auto,Pale White,18501,Hatchback,Greenville
C_CND_000218,1/21/2022,Female,Pitre Buick-Pontiac-Gmc of Scottsdale,Acura,RL,Manual,Pale White,17001,SUV,Pasco
C_CND_000219,1/21/2022,Female,Progressive Shippers Cooperative Association No,Mitsubishi,Montero Sport,Manual,Pale White,12500,SUV,Janesville
C_CND_000220,1/21/2022,Female,Rabun Used Car Sales,BMW,528i,Manual,Black,21000,SUV,Scottsdale
C_CND_000221,1/21/2022,Male,Saab-Belle Dodge,BMW,528i,Auto,Pale White,62000,SUV,Aurora
